s.no.,P,E,Tmax,Tmin
153,0,5.725,0,1
154,0,5.673076923,0,1
155,0,5.940384615,0,1
156,1.171538462,5.788461538,0,1
157,0.062307692,6.067307692,0,1
158,0,6.538461538,0,1
159,2.584230769,5.863461538,0,1
160,3.136538462,5.490384615,0,1
161,24.67596154,4.4,0,1
162,21.01288462,3.775,0,1
163,38.40961538,3.457692308,0,1
164,9.556153846,3.373076923,0,1
165,28.87615385,4.125,0,1
166,9.469038462,3.990384615,0,1
167,6.483653846,4.123076923,0,1
168,12.86826923,4.132692308,0,1
169,29.23673077,3.376923077,0,1
170,33.57153846,3.132692308,0,1
171,24.46346154,3.086538462,0,1
172,11.6375,3.003846154,0,1
173,6.601153846,3.292307692,0,1
174,4.833461538,3.528846154,0,1
175,5.7225,3.786538462,0,1
176,9.628076923,3.919230769,0,1
177,10.46942308,3.846153846,0,1
178,11.61942308,3.584615385,0,1
179,26.87076923,3.625,0,1
180,26.41384615,3.005769231,0,1
181,36.76538462,3.019230769,0,1
182,11.21365385,3.317307692,0,1
183,5.788653846,3.690384615,0,1
184,2.384423077,3.430769231,0,1
185,2.857115385,3.736538462,0,1
186,1.724230769,3.782692308,0,1
187,3.470192308,3.811538462,0,1
188,3.05,3.746153846,0,1
189,4.741538462,3.761538462,0,1
190,13.32076923,4.046153846,0,1
191,7.765769231,4.092307692,0,1
192,3.481346154,3.994230769,0,1
193,3.121923077,3.823076923,0,1
194,7.505384615,3.853846154,0,1
195,12.00576923,3.898076923,0,1
196,22.07326923,3.834615385,0,1
197,3.826730769,3.361538462,0,1
198,3.076153846,3.417307692,0,1
199,1.665,4.059615385,0,1
200,1.222884615,4.173076923,0,1
201,19.74211538,4.090384615,0,1
202,25.11057692,3.532692308,0,1
203,30.93,3.180769231,0,1
204,21.35134615,3.171153846,0,1
205,40.40480769,3.069230769,0,1
206,36.2425,2.846153846,0,1
207,1998496661,2.728846154,0,1
208,43.39153846,2.494230769,0,1
209,10.36961538,2.657692308,0,1
210,9.784423077,2.863461538,0,1
211,6.2275,3.553846154,0,1
212,5.031730769,3.692307692,0,1
213,2.531346154,3.919230769,0,1
214,1.435961538,3.767307692,0,1
215,2.765384615,3.775,0,1
216,2.799423077,3.751923077,0,1
217,1.470576923,3.915384615,0,1
218,1.592692308,3.980769231,0,1
219,2.678653846,3.953846154,0,1
220,1.762307692,4.013461538,0,1
221,1.304038462,4.094230769,0,1
222,1.465384615,4.063461538,0,1
223,1.527692308,4.175,0,1
224,4.602692308,3.951923077,0,1
225,2.778653846,3.451923077,0,1
226,1.417115385,4.086538462,0,1
227,1.805961538,4.103846154,0,1
228,5.410576923,4.203846154,0,1
229,8.725576923,4.030769231,0,1
230,19.33903846,4.011538462,0,1
231,21.53730769,4.103846154,0,1
232,25.16019231,3.948076923,0,1
233,31.23423077,3.611538462,0,1
234,28.36019231,3.230769231,0,1
235,37.49576923,2.655769231,0,1
236,6551.146154,2.65,0,1
237,58.35769231,2.419230769,0,1
238,19.10557692,2.638461538,0,1
239,10.49846154,2.923076923,0,1
240,5.3425,3.007692308,0,1
241,1.167692308,3.665384615,0,1
242,12.21153846,3.413461538,0,1
243,7.707884615,3.192307692,0,1
244,9.375961538,3.019230769,0,1
245,23.28057692,2.928846154,0,1
246,20.21519231,2.780769231,0,1
247,26.24442308,2.521153846,0,1
248,23.25615385,2.380769231,0,1
249,3.369807692,3.015384615,0,1
250,3.090384615,3.386538462,0,1
251,7.351153846,3.309615385,0,1
252,11.18923077,3.478846154,0,1
253,5.850769231,3.294230769,0,1
254,9.055192308,3.313461538,0,1
255,7.351923077,3.619230769,0,1
256,2.175192308,3.715384615,0,1
257,1.259038462,3.780769231,0,1
258,1.988076923,3.748076923,0,1
259,5.832307692,3.644230769,0,1
260,2.888269231,3.746153846,0,1
261,0.563846154,3.786538462,0,1
262,1.583076923,3.786538462,0,1
263,1.522884615,3.834615385,0,1
264,9.011346154,3.948076923,0,1
265,13.8225,3.832692308,0,1
266,19.14846154,3.626923077,0,1
267,16.65538462,3.369230769,0,1
268,21.13769231,3.182692308,0,1
269,25.51173077,3.107692308,0,1
270,13.32769231,3.1,0,1
271,30.9975,3.390384615,0,1
272,15.82980769,2.992307692,0,1
273,5.885576923,3.186538462,0,1
274,9.812692308,3.211538462,0,1
275,12.78846154,3.225,0,1
276,4.567884615,3.351923077,0,1
277,1.222692308,3.55,0,1
278,2.168269231,3.648076923,0,1
279,1.844038462,3.551923077,0,1
280,4.818846154,3.359615385,0,1
281,9.560961538,3.484615385,0,1
282,14.54326923,3.257692308,0,1
283,14.26884615,3.351923077,0,1
284,7.165192308,3.351923077,0,1
285,7.971923077,3.328846154,0,1
286,10.62365385,3.438461538,0,1
287,6.519230769,3.323076923,0,1
288,1.754038462,3.363461538,0,1
289,2.339038462,3.265384615,0,1
290,5.233269231,3.219230769,0,1
291,4.114807692,3.388461538,0,1
292,5.201923077,3.234615385,0,1
293,1.471153846,3.203846154,0,1
294,0.490576923,3.396153846,0,1
295,1.384423077,3.426923077,0,1
296,0.380192308,3.509615385,0,1
297,0.018269231,3.740384615,0,1
298,0.013846154,3.721153846,0,1
299,0.027307692,3.578846154,0,1
300,1.318846154,3.551923077,0,1
301,1.189807692,3.653846154,0,1
302,0.053461538,3.448076923,0,1
303,0.136923077,3.659615385,0,1
304,0.029423077,3.746153846,0,1
305,0,3.569230769,0,1
306,0.344615385,3.532692308,0,1
307,3.215769231,3.25,0,1
308,7.957884615,2.917307692,0,1
309,0.099807692,3.234615385,0,1
310,0,3.476923077,0,1
311,0,3.546153846,0,1
312,0,3.696153846,0,1
313,0.143653846,3.742307692,0,1
314,2.401346154,3.280769231,0,1
315,0.097692308,3.136538462,0,1
316,0,3.180769231,0,1
317,0.540576923,3.428846154,0,1
318,4.297115385,3.119230769,0,1
319,10.06019231,2.267307692,0,1
320,2.045576923,2.725,0,1
321,0.895576923,2.973076923,0,1
322,0.036923077,3.203846154,0,1
323,0.298461538,3.146153846,0,1
324,0.001346154,3.698076923,0,1
325,0,3.703846154,0,1
326,0,3.707692308,0,1
327,0,3.696153846,0,1
328,0,3.75,0,1
329,0,3.755769231,0,1
330,0.020384615,3.613461538,0,1
331,0.692692308,3.386538462,0,1
332,0.073653846,3.048076923,0,1
333,0,3.130769231,0,1
334,0,3.269230769,0,1
335,0,3.446153846,0,1
336,0,3.576923077,0,1
337,0,3.611538462,0,1
338,0,3.796153846,0,1
339,0,3.732692308,0,1
340,0,3.838461538,0,1
341,0,3.876923077,0,1
342,0,3.857692308,0,1
343,0,3.905769231,0,1
344,0,3.863461538,0,1
345,0,3.786538462,0,1
346,0,3.644230769,0,1
347,0,3.603846154,0,1
348,0,3.330769231,0,1
349,0,3.551923077,0,1
350,0,3.840384615,0,1
351,0,3.751923077,0,1
352,0,3.609615385,0,1
353,0,3.440384615,0,1
354,0,3.411538462,0,1
355,0,3.480769231,0,1
356,0,3.565384615,0,1
357,0,3.559615385,0,1
358,0.004615385,3.530769231,0,1
359,0,3.367307692,0,1
360,0,3.153846154,0,1
361,0,3.338461538,0,1
362,0,3.459615385,0,1
363,0,3.688461538,0,1
364,0,3.765384615,0,1
365,0,3.707692308,0,1
366,0,3.513461538,0,1
367,0.009230769,3.409615385,0,1
368,0.000192308,3.542307692,0,1
369,0,3.682692308,0,1
370,0,3.761538462,0,1
371,0,3.826923077,0,1
372,0,3.828846154,0,1
373,0,3.948076923,0,1
374,0,3.967307692,0,1
375,0.134423077,3.930769231,0,1
376,0.193076923,3.828846154,0,1
377,0.226730769,3.626923077,0,1
378,0.336730769,3.067307692,0,1
379,0.073461538,3.036538462,0,1
380,0.267115385,3.288461538,0,1
381,0,3.473076923,0,1
382,0,3.628846154,0,1
383,0,3.648076923,0,1
384,0,3.796153846,0,1
385,0,3.728846154,0,1
386,0.003653846,3.5,0,1
387,0.043653846,2.990384615,0,1
388,0.02,3.484615385,0,1
389,0.007115385,3.638461538,0,1
390,0.000961538,3.794230769,0,1
391,0.000192308,4.001923077,0,1
392,0,4.136538462,0,1
393,0.007692308,4.203846154,0,1
394,0.027884615,4.153846154,0,1
395,0.025384615,3.890384615,0,1
396,0.076153846,3.926923077,0,1
397,0.045192308,3.798076923,0,1
398,0,3.825,0,1
399,0,3.978846154,0,1
400,0,4.163461538,0,1
401,0,4.351923077,0,1
402,0,4.265384615,0,1
403,0,4.321153846,0,1
404,0,4.248076923,0,1
405,0,4.130769231,0,1
406,0,4.4,0,1
407,0,4.561538462,0,1
408,0,4.569230769,0,1
409,0.015384615,4.538461538,0,1
410,0.0175,4.592307692,0,1
411,0,4.548076923,0,1
412,0,4.738461538,0,1
413,0,4.821153846,0,1
414,0,4.898076923,0,1
415,0,4.890384615,0,1
416,0,4.953846154,0,1
417,0,4.790384615,0,1
418,0,4.717307692,0,1
419,0,4.588461538,0,1
420,0,4.621153846,0,1
421,0,4.521153846,0,1
422,0.001923077,4.473076923,0,1
423,0,4.642307692,0,1
424,0,4.705769231,0,1
425,0,4.988461538,0,1
426,0,4.782692308,0,1
427,0,4.807692308,0,1
428,0,4.903846154,0,1
429,0,4.390384615,0,1
430,0,4.430769231,0,1
431,0,4.598076923,0,1
432,0,4.707692308,0,1
433,0,4.609615385,0,1
434,0,4.713461538,0,1
435,0,4.921153846,0,1
436,0,4.882692308,0,1
437,0,4.746153846,0,1
438,0,4.909615385,0,1
439,0,4.978846154,0,1
440,0,4.946153846,0,1
441,0,4.982692308,0,1
442,0,5.340384615,0,1
443,0,5.321153846,0,1
444,0,5.138461538,0,1
445,0,5.140384615,0,1
446,0,5.348076923,0,1
447,0,5.321153846,0,1
448,0,5.390384615,0,1
449,0,5.455769231,0,1
450,0,5.761538462,0,1
451,0.005384615,5.138461538,0,1
452,0,4.553846154,0,1
453,0,5.007692308,0,1
454,0,5.209615385,0,1
455,0,4.932692308,0,1
456,0,5.025,0,1
457,0,5.071153846,0,1
458,0,5.119230769,0,1
459,0,4.751923077,0,1
460,0,4.823076923,0,1
461,0,5.226923077,0,1
462,0.033269231,5.178846154,0,1
463,0,5.005769231,0,1
464,0,4.990384615,0,1
465,0,5.236538462,0,1
466,0,5.517307692,0,1
467,0,5.865384615,0,1
468,0,6.057692308,0,1
469,0,6.482692308,0,1
470,0,6.421153846,0,1
471,0,6.223076923,0,1
472,0,6.219230769,0,1
473,0,6.371153846,0,1
474,0,6.601923077,0,1
475,0,6.586538462,0,1
476,0,6.019230769,0,1
477,0,6.005769231,0,1
478,0,5.880769231,0,1
479,0,5.607692308,0,1
480,0,5.498076923,0,1
481,0,5.636538462,0,1
482,0.043653846,5.713461538,0,1
483,0.123269231,5.707692308,0,1
484,0,5.838461538,0,1
485,0.014615385,6.021153846,0,1
486,0,6.123076923,0,1
487,1.009807692,5.915384615,0,1
488,1.013461538,5.748076923,0,1
489,1.541730769,5.680769231,0,1
490,0.895576923,5.832692308,0,1
491,0.404230769,5.659615385,0,1
492,0.439038462,5.775,0,1
493,0.0125,5.801923077,0,1
494,0.079230769,5.915384615,0,1
495,1.128846154,5.8,0,1
496,0.11,5.851923077,0,1
497,0.772115385,6.059615385,0,1
498,0,6.286538462,0,1
499,0,6.288461538,0,1
500,0,6.123076923,0,1
501,0.034807692,5.836538462,0,1
502,0.155384615,5.780769231,0,1
503,1.247884615,5.994230769,0,1
504,0.07,5.328846154,0,1
505,0.678846154,5.638461538,0,1
506,0.881730769,5.525,0,1
507,3.981730769,5.757692308,0,1
508,1.626153846,5.4,0,1
509,2.371730769,5.201923077,0,1
510,5.454038462,5.244230769,0,1
511,3.870384615,5.019230769,0,1
512,3.765961538,5.117307692,0,1
513,3.383269231,4.915384615,0,1
514,1.056346154,5.025,0,1
515,0.267884615,5.225,0,1
516,0.446923077,5.232692308,0,1
517,0.184807692,5.3,0,1
518,0.780769231,5.434615385,0,1
519,0,5.296153846,0,1
520,0.002692308,5.617307692,0,1
521,0,6.080769231,0,1
522,0.015576923,5.928846154,0,1
523,0.708076923,6.061538462,0,1
524,0.085192308,5.782692308,0,1
525,0.441153846,5.717307692,0,1
526,3.696538462,5.838461538,0,1
527,17.92326923,4.730769231,0,1
528,14.46961538,4.080769231,0,1
529,13.36442308,4.309615385,0,1
530,5.199615385,4.838461538,0,1
531,2.584807692,4.613461538,0,1
532,8.8,4.480769231,0,1
533,22.06480769,3.546153846,0,1
534,29.41730769,3.301923077,0,1
535,7.979038462,3.419230769,0,1
536,0.982307692,4.094230769,0,1
537,1.390192308,4.328846154,0,1
538,2.557884615,3.817307692,0,1
539,2.675769231,4.207692308,0,1
540,11.45980769,3.778846154,0,1
541,19.76596154,3.728846154,0,1
542,18.88076923,3.644230769,0,1
543,3.648269231,4.205769231,0,1
544,0.448846154,4.467307692,0,1
545,0.177115385,4.413461538,0,1
546,1.98,4.488461538,0,1
547,1.16,4.619230769,0,1
548,0.207692308,4.648076923,0,1
549,0.200769231,4.784615385,0,1
550,0.072115385,4.792307692,0,1
551,0.477115385,4.940384615,0,1
552,0.021538462,5.011538462,0,1
553,0.019038462,4.813461538,0,1
554,0.059423077,4.753846154,0,1
555,0.622884615,4.471153846,0,1
556,7.922307692,4.325,0,1
557,10.26076923,3.557692308,0,1
558,26.57230769,3.338461538,0,1
559,12.95980769,3.667307692,0,1
560,6.044038462,4.211538462,0,1
561,15.86,4.213461538,0,1
562,14.50307692,4.036538462,0,1
563,13.03153846,4.15,0,1
564,5.721153846,4.151923077,0,1
565,7.970576923,4.180769231,0,1
566,18.14596154,4.175,0,1
567,5.704038462,4.148076923,0,1
568,9.046153846,4.196153846,0,1
569,33.67326923,4.011538462,0,1
570,24.27423077,3.255769231,0,1
571,21.82826923,2.834615385,0,1
572,31.95307692,3.382692308,0,1
573,35.02192308,2.786538462,0,1
574,35.31403846,2.492307692,0,1
575,17.98826923,2.717307692,0,1
576,15.4675,3.125,0,1
577,14.71038462,2.859615385,0,1
578,7.474230769,2.971153846,0,1
579,8.223846154,2.878846154,0,1
580,5.565961538,3.463461538,0,1
581,2.830961538,3.532692308,0,1
582,9.439807692,3.423076923,0,1
583,38.68807692,2.992307692,0,1
584,3930.462885,2.459615385,0,1
585,18.25711538,3.376923077,0,1
586,13.98923077,3.290384615,0,1
587,13.61692308,3.507692308,0,1
588,7.087115385,3.655769231,0,1
589,5.774038462,3.751923077,0,1
590,11.54346154,3.392307692,0,1
591,38.76961538,2.986538462,0,1
592,70.96615385,2.819230769,0,1
593,3.834807692,3.482692308,0,1
594,2.740769231,3.934615385,0,1
595,3.110384615,3.878846154,0,1
596,0.695769231,3.815384615,0,1
597,1.463461538,3.975,0,1
598,9.86,3.763461538,0,1
599,20.30673077,3.476923077,0,1
600,13.28076923,3.061538462,0,1
601,17.28269231,3.301923077,0,1
602,53.01653846,2.501923077,0,1
603,30.29134615,2.501923077,0,1
604,12.005,2.734615385,0,1
605,9.211346154,2.969230769,0,1
606,12.62788462,2.901923077,0,1
607,23.455,2.728846154,0,1
608,10.94230769,2.886538462,0,1
609,3.738846154,2.871153846,0,1
610,4.137115385,3.453846154,0,1
611,2.131346154,3.742307692,0,1
612,4.4925,3.605769231,0,1
613,3.289038462,3.605769231,0,1
614,0.341730769,3.776923077,0,1
615,1.176153846,3.725,0,1
616,1.075576923,3.678846154,0,1
617,2.129423077,3.759615385,0,1
618,1.440192308,3.805769231,0,1
619,1.530384615,3.923076923,0,1
620,4.043269231,3.959615385,0,1
621,3.947115385,3.730769231,0,1
622,1.618653846,3.688461538,0,1
623,1.867115385,3.813461538,0,1
624,5.585576923,3.7,0,1
625,3.790384615,3.675,0,1
626,5.353076923,3.926923077,0,1
627,9.458461538,4.046153846,0,1
628,25.77057692,3.669230769,0,1
629,52.76846154,3.011538462,0,1
630,47.0075,2.648076923,0,1
631,32.87730769,2.717307692,0,1
632,22.41826923,2.946153846,0,1
633,6.986153846,3.044230769,0,1
634,1.733269231,3.801923077,0,1
635,1.206153846,3.775,0,1
636,1.523076923,3.944230769,0,1
637,2.237115385,3.915384615,0,1
638,2.579807692,3.796153846,0,1
639,2.959807692,3.705769231,0,1
640,3.764423077,3.740384615,0,1
641,3.309423077,3.761538462,0,1
642,2.805,3.855769231,0,1
643,1.626923077,3.842307692,0,1
644,1.219230769,3.794230769,0,1
645,0.840192308,3.698076923,0,1
646,1.766923077,3.621153846,0,1
647,3.732884615,3.611538462,0,1
648,6.025,3.578846154,0,1
649,4.592115385,3.471153846,0,1
650,5.208461538,3.557692308,0,1
651,2.345961538,3.394230769,0,1
652,1.888846154,3.571153846,0,1
653,2.235769231,3.632692308,0,1
654,1.678269231,3.655769231,0,1
655,1.800384615,3.544230769,0,1
656,3.720961538,3.463461538,0,1
657,8.091923077,3.205769231,0,1
658,2.863076923,3.201923077,0,1
659,0.825,3.225,0,1
660,1.446538462,3.432692308,0,1
661,1.518653846,3.623076923,0,1
662,1.675769231,3.603846154,0,1
663,6.0425,3.382692308,0,1
664,7.494423077,3.238461538,0,1
665,9.939423077,2.736538462,0,1
666,14.25269231,3.013461538,0,1
667,7.931923077,2.842307692,0,1
668,4.053269231,2.938461538,0,1
669,0.393076923,3.338461538,0,1
670,0,3.892307692,0,1
671,0,3.990384615,0,1
672,0,4,0,1
673,0,3.940384615,0,1
674,0,4.007692308,0,1
675,0,3.905769231,0,1
676,0,3.5,0,1
677,0,3.580769231,0,1
678,1.052307692,3.517307692,0,1
679,3.239807692,3.232692308,0,1
680,1.556923077,3.111538462,0,1
681,0.218461538,3.211538462,0,1
682,0,3.55,0,1
683,0,3.653846154,0,1
684,0,3.601923077,0,1
685,0,3.494230769,0,1
686,0.149615385,3.330769231,0,1
687,0.000961538,3.284615385,0,1
688,0.116730769,3.355769231,0,1
689,0.537884615,3.092307692,0,1
690,1.419038462,2.984615385,0,1
691,0.377692308,3.348076923,0,1
692,0.004230769,3.513461538,0,1
693,0.108269231,3.576923077,0,1
694,0.107692308,3.332692308,0,1
695,1.101538462,2.934615385,0,1
696,0.311153846,3.092307692,0,1
697,0.500192308,3.209615385,0,1
698,0.168076923,3.148076923,0,1
699,0.049230769,3.307692308,0,1
700,0,3.453846154,0,1
701,0,3.440384615,0,1
702,0,3.45,0,1
703,0,3.557692308,0,1
704,0,3.357692308,0,1
705,0.004807692,3.136538462,0,1
706,0.018269231,3.055769231,0,1
707,0.197115385,3.030769231,0,1
708,1.013653846,2.996153846,0,1
709,0.765,2.909615385,0,1
710,0.133653846,3.146153846,0,1
711,0.080192308,3.086538462,0,1
712,0.361730769,3.051923077,0,1
713,0.173461538,3.155769231,0,1
714,0,3.563461538,0,1
715,0,3.576923077,0,1
716,0,3.740384615,0,1
717,0,3.436538462,0,1
718,0,3.575,0,1
719,0,3.713461538,0,1
720,0,3.628846154,0,1
721,0,3.636538462,0,1
722,0,3.776923077,0,1
723,0,3.798076923,0,1
724,0,3.803846154,0,1
725,0,3.778846154,0,1
726,0,3.728846154,0,1
727,0,3.182692308,0,1
728,0.006538462,3.338461538,0,1
729,0,3.628846154,0,1
730,0.013461538,3.592307692,0,1
731,0,3.490384615,0,1
732,0.007307692,3.519230769,0,1
733,0,3.442307692,0,1
734,0,3.628846154,0,1
735,0,3.615384615,0,1
736,0.000384615,3.578846154,0,1
737,0.015384615,3.398076923,0,1
738,0.000576923,3.25,0,1
739,0,3.448076923,0,1
740,0,3.475,0,1
741,0,3.475,0,1
742,0.004038462,3.492307692,0,1
743,0.050961538,3.403846154,0,1
744,0.225576923,3.090384615,0,1
745,0.4,3.276923077,0,1
746,0.078846154,3.121153846,0,1
747,0.173653846,3.336538462,0,1
748,0,3.605769231,0,1
749,0,3.721153846,0,1
750,0.002115385,3.673076923,0,1
751,0,3.592307692,0,1
752,0,3.826923077,0,1
753,0,3.805769231,0,1
754,0.034230769,3.792307692,0,1
755,0,3.936538462,0,1
756,0,3.632692308,0,1
757,0.002115385,3.617307692,0,1
758,0.026346154,3.707692308,0,1
759,16.12461538,2.357692308,0,1
760,6.7225,2.488461538,0,1
761,0.287307692,3.496153846,0,1
762,0.257307692,3.648076923,0,1
763,0,3.701923077,0,1
764,0,3.698076923,0,1
765,0,3.732692308,0,1
766,0,3.826923077,0,1
767,0,3.928846154,0,1
768,0,4.151923077,0,1
769,0,4.267307692,0,1
770,0,4.244230769,0,1
771,0,4.223076923,0,1
772,0,4.255769231,0,1
773,0,4.234615385,0,1
774,0.018653846,4.192307692,0,1
775,0.0275,4.376923077,0,1
776,0.022115385,4.459615385,0,1
777,0.046153846,4.330769231,0,1
778,0,4.448076923,0,1
779,0,4.628846154,0,1
780,0,4.359615385,0,1
781,0,4.394230769,0,1
782,0,4.494230769,0,1
783,0,4.590384615,0,1
784,0,4.563461538,0,1
785,0,4.628846154,0,1
786,0,4.688461538,0,1
787,0,4.7,0,1
788,0,4.759615385,0,1
789,0,4.590384615,0,1
790,0,4.6,0,1
791,0,4.621153846,0,1
792,0,4.444230769,0,1
793,0,4.509615385,0,1
794,0,4.725,0,1
795,0,4.965384615,0,1
796,0,4.994230769,0,1
797,0,5.021153846,0,1
798,0,4.709615385,0,1
799,0.035769231,4.496153846,0,1
800,0.840576923,4.301923077,0,1
801,0.22,4.661538462,0,1
802,0,5.080769231,0,1
803,0.017692308,5.205769231,0,1
804,0.023846154,4.007692308,0,1
805,0.025576923,4.3,0,1
806,0.033653846,4.784615385,0,1
807,0.037692308,4.821153846,0,1
808,0.004038462,5.015384615,0,1
809,0,5.107692308,0,1
810,0.000192308,5.132692308,0,1
811,0,5.248076923,0,1
812,0,5.375,0,1
813,0,5.498076923,0,1
814,0,5.317307692,0,1
815,0.019038462,5.078846154,0,1
816,0.022884615,5.123076923,0,1
817,0,5.346153846,0,1
818,0,5.463461538,0,1
819,0,5.509615385,0,1
820,0,5.686538462,0,1
821,0,5.403846154,0,1
822,0,5.348076923,0,1
823,0.013269231,5.405769231,0,1
824,0.673269231,5.051923077,0,1
825,0.965576923,4.911538462,0,1
826,1.161923077,5.144230769,0,1
827,0.036153846,5.228846154,0,1
828,0,5.440384615,0,1
829,0,5.742307692,0,1
830,0,5.763461538,0,1
831,0.0075,5.446153846,0,1
832,0,5.034615385,0,1
833,0,4.963461538,0,1
834,0.010384615,4.861538462,0,1
835,0.142307692,5.365384615,0,1
836,0,5.603846154,0,1
837,0,5.788461538,0,1
838,0,5.975,0,1
839,0.0075,6.001923077,0,1
840,0.395769231,5.526923077,0,1
841,0.114423077,5.355769231,0,1
842,0.085769231,5.503846154,0,1
843,0.342692308,5.415384615,0,1
844,0.005384615,5.532692308,0,1
845,0.006153846,5.501923077,0,1
846,0,5.338461538,0,1
847,0,5.553846154,0,1
848,0,5.942307692,0,1
849,0,6.186538462,0,1
850,0,6.557692308,0,1
851,0,6.553846154,0,1
852,0,6.159615385,0,1
853,0,6.025,0,1
854,0,5.919230769,0,1
855,0,6.003846154,0,1
856,0.003076923,6.136538462,0,1
857,0.015576923,6.015384615,0,1
858,1.086346154,5.909615385,0,1
859,0.510576923,5.834615385,0,1
